provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,2228,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,9514.8,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,22309.9,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,18891.1,TON
JAWA BARAT,3205,KABUPATEN GARUT,39130.4,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3788.9,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,1986,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,2792.7,TON
JAWA BARAT,3209,KABUPATEN CIREBON,14,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,8107.7,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,2757.8,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,446,TON
JAWA BARAT,3213,KABUPATEN SUBANG,3383.3,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,5049.3,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,186.6,TON
JAWA BARAT,3216,KABUPATEN BEKASI,93.8,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9674.9,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,78.1,TON
JAWA BARAT,3271,KOTA BOGOR,551,TON
JAWA BARAT,3272,KOTA SUKABUMI,26.5,TON
JAWA BARAT,3273,KOTA BANDUNG,0,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,4.3,TON
JAWA BARAT,3276,KOTA DEPOK,4.5,TON
JAWA BARAT,3277,KOTA CIMAHI,0,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,63.1,TON
JAWA BARAT,3279,KOTA BANJAR,335.5,TON